투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수,date,stock_code,stock_name
금융투자,1,1,0,13190,13180,-10,20240111,098120,마이크로컨텍솔
보험,0,0,0,0,0,0,20240111,098120,마이크로컨텍솔
투신,15,0,-15,199690,0,-199690,20240111,098120,마이크로컨텍솔
사모,21,0,-21,279490,0,-279490,20240111,098120,마이크로컨텍솔
은행,0,0,0,0,0,0,20240111,098120,마이크로컨텍솔
기타금융,0,0,0,0,0,0,20240111,098120,마이크로컨텍솔
연기금 등,0,0,0,0,0,0,20240111,098120,마이크로컨텍솔
기관합계,37,1,-36,492370,13180,-479190,20240111,098120,마이크로컨텍솔
기타법인,2,1000,998,26180,13140000,13113820,20240111,098120,마이크로컨텍솔
개인,120598,119881,-717,1593114860,1583290870,-9823990,20240111,098120,마이크로컨텍솔
외국인,39128,16148,-22980,517880840,214349760,-303531080,20240111,098120,마이크로컨텍솔
기타외국인,2868,25603,22735,37812470,338532910,300720440,20240111,098120,마이크로컨텍솔
전체,162633,162633,0,2149326720,2149326720,0,20240111,098120,마이크로컨텍솔
금융투자,681,11293,10612,20291100,336130700,315839600,20240111,009520,포스코엠텍
보험,0,0,0,0,0,0,20240111,009520,포스코엠텍
투신,59,0,-59,1767400,0,-1767400,20240111,009520,포스코엠텍
사모,0,166,166,0,4951450,4951450,20240111,009520,포스코엠텍
은행,0,0,0,0,0,0,20240111,009520,포스코엠텍
기타금융,0,0,0,0,0,0,20240111,009520,포스코엠텍
연기금 등,0,7998,7998,0,238635500,238635500,20240111,009520,포스코엠텍
기관합계,740,19457,18717,22058500,579717650,557659150,20240111,009520,포스코엠텍
기타법인,17221,5404,-11817,514588600,161181150,-353407450,20240111,009520,포스코엠텍
개인,1329143,1218708,-110435,39782045400,36502523350,-3279522050,20240111,009520,포스코엠텍
외국인,188644,294651,106007,5656544100,8804848000,3148303900,20240111,009520,포스코엠텍
기타외국인,4981,2509,-2472,148287850,75254300,-73033550,20240111,009520,포스코엠텍
전체,1540729,1540729,0,46123524450,46123524450,0,20240111,009520,포스코엠텍
금융투자,28345,28291,-54,140001925,140073650,71725,20240111,095570,AJ네트웍스
보험,0,0,0,0,0,0,20240111,095570,AJ네트웍스
투신,0,17818,17818,0,88424525,88424525,20240111,095570,AJ네트웍스
사모,0,1753,1753,0,8716915,8716915,20240111,095570,AJ네트웍스
은행,0,0,0,0,0,0,20240111,095570,AJ네트웍스
기타금융,0,0,0,0,0,0,20240111,095570,AJ네트웍스
연기금 등,19069,18880,-189,94677795,93912785,-765010,20240111,095570,AJ네트웍스
